UID          PID    PPID  C STIME TTY          TIME CMD
root           1       0  0 16:10 ?        00:00:03 /usr/lib/systemd/systemd --switched-root --system --deserialize=60 rhgb
root           2       0  0 16:10 ?        00:00:00 [kthreadd]
root           3       2  0 16:10 ?        00:00:00 [pool_workqueue_release]
root           4       2  0 16:10 ?        00:00:00 [kworker/R-rcu_gp]
root           5       2  0 16:10 ?        00:00:00 [kworker/R-sync_wq]
root           6       2  0 16:10 ?        00:00:00 [kworker/R-kvfree_rcu_reclaim]
root           7       2  0 16:10 ?        00:00:00 [kworker/R-slub_flushwq]
root           8       2  0 16:10 ?        00:00:00 [kworker/R-netns]
root           9       2  0 16:10 ?        00:00:00 [kworker/0:0-events]
root          10       2  0 16:10 ?        00:00:00 [kworker/0:0H-kblockd]
root          11       2  0 16:10 ?        00:00:00 [kworker/0:1-cgroup_offline]
root          13       2  0 16:10 ?        00:00:00 [kworker/R-mm_percpu_wq]
root          14       2  0 16:10 ?        00:00:01 [kworker/u32:1-btrfs-endio]
root          15       2  0 16:10 ?        00:00:00 [ksoftirqd/0]
root          16       2  0 16:10 ?        00:00:00 [rcu_preempt]
root          17       2  0 16:10 ?        00:00:00 [rcu_exp_par_gp_kthread_worker/0]
root          18       2  0 16:10 ?        00:00:00 [rcu_exp_gp_kthread_worker]
root          19       2  0 16:10 ?        00:00:00 [migration/0]
root          20       2  0 16:10 ?        00:00:00 [kprobe-optimizer]
root          21       2  0 16:10 ?        00:00:00 [idle_inject/0]
root          22       2  0 16:10 ?        00:00:00 [cpuhp/0]
root          23       2  0 16:10 ?        00:00:00 [cpuhp/1]
root          24       2  0 16:10 ?        00:00:00 [idle_inject/1]
root          25       2  0 16:10 ?        00:00:00 [migration/1]
root          26       2  0 16:10 ?        00:00:00 [ksoftirqd/1]
root          28       2  0 16:10 ?        00:00:00 [kworker/1:0H-kblockd]
root          29       2  0 16:10 ?        00:00:00 [cpuhp/2]
root          30       2  0 16:10 ?        00:00:00 [idle_inject/2]
root          31       2  0 16:10 ?        00:00:00 [migration/2]
root          32       2  0 16:10 ?        00:00:00 [ksoftirqd/2]
root          33       2  0 16:10 ?        00:00:00 [kworker/2:0-events]
root          34       2  0 16:10 ?        00:00:00 [kworker/2:0H-kblockd]
root          35       2  0 16:10 ?        00:00:00 [cpuhp/3]
root          36       2  0 16:10 ?        00:00:00 [idle_inject/3]
root          37       2  0 16:10 ?        00:00:00 [migration/3]
root          38       2  0 16:10 ?        00:00:00 [ksoftirqd/3]
root          40       2  0 16:10 ?        00:00:00 [kworker/3:0H-kblockd]
root          41       2  0 16:10 ?        00:00:00 [cpuhp/4]
root          42       2  0 16:10 ?        00:00:00 [idle_inject/4]
root          43       2  0 16:10 ?        00:00:00 [migration/4]
root          44       2  0 16:10 ?        00:00:00 [ksoftirqd/4]
root          46       2  0 16:10 ?        00:00:00 [kworker/4:0H-kblockd]
root          47       2  0 16:10 ?        00:00:00 [cpuhp/5]
root          48       2  0 16:10 ?        00:00:00 [idle_inject/5]
root          49       2  0 16:10 ?        00:00:00 [migration/5]
root          50       2  0 16:10 ?        00:00:00 [ksoftirqd/5]
root          52       2  0 16:10 ?        00:00:00 [kworker/5:0H-kblockd]
root          53       2  0 16:10 ?        00:00:00 [cpuhp/6]
root          54       2  0 16:10 ?        00:00:00 [idle_inject/6]
root          55       2  0 16:10 ?        00:00:00 [migration/6]
root          56       2  0 16:10 ?        00:00:00 [ksoftirqd/6]
root          57       2  0 16:10 ?        00:00:00 [kworker/6:0-events]
root          58       2  0 16:10 ?        00:00:00 [kworker/6:0H-i915_cleanup]
root          59       2  0 16:10 ?        00:00:00 [cpuhp/7]
root          60       2  0 16:10 ?        00:00:00 [idle_inject/7]
root          61       2  0 16:10 ?        00:00:00 [migration/7]
root          62       2  0 16:10 ?        00:00:00 [ksoftirqd/7]
root          64       2  0 16:10 ?        00:00:00 [kworker/7:0H-kblockd]
root          65       2  0 16:10 ?        00:00:00 [kdevtmpfs]
root          66       2  0 16:10 ?        00:00:00 [kworker/R-inet_frag_wq]
root          67       2  0 16:10 ?        00:00:00 [rcu_tasks_kthread]
root          68       2  0 16:10 ?        00:00:00 [rcu_tasks_rude_kthread]
root          69       2  0 16:10 ?        00:00:00 [kauditd]
root          70       2  0 16:10 ?        00:00:00 [oom_reaper]
root          71       2  0 16:10 ?        00:00:00 [kworker/u32:2-btrfs-endio]
root          72       2  0 16:10 ?        00:00:00 [kworker/R-writeback]
root          73       2  0 16:10 ?        00:00:01 [kcompactd0]
root          74       2  0 16:10 ?        00:00:00 [ksmd]
root          75       2  0 16:10 ?        00:00:00 [khugepaged]
root          76       2  0 16:10 ?        00:00:00 [kworker/R-kblockd]
root          77       2  0 16:10 ?        00:00:00 [kworker/R-blkcg_punt_bio]
root          78       2  0 16:10 ?        00:00:00 [kworker/R-kintegrityd]
root          79       2  0 16:10 ?        00:00:00 [kworker/4:1-mm_percpu_wq]
root          80       2  0 16:10 ?        00:00:00 [irq/9-acpi]
root          81       2  0 16:10 ?        00:00:00 [kworker/0:2-events]
root          82       2  0 16:10 ?        00:00:00 [kworker/5:1-events]
root          83       2  0 16:10 ?        00:00:00 [kworker/1:1-events]
root          84       2  0 16:10 ?        00:00:00 [kworker/R-tpm_dev_wq]
root          85       2  0 16:10 ?        00:00:00 [kworker/R-ata_sff]
root          86       2  0 16:10 ?        00:00:00 [kworker/R-md_bitmap]
root          87       2  0 16:10 ?        00:00:00 [kworker/R-md]
root          88       2  0 16:10 ?        00:00:00 [kworker/R-edac-poller]
root          89       2  0 16:10 ?        00:00:00 [kworker/R-devfreq_wq]
root          90       2  0 16:10 ?        00:00:00 [watchdogd]
root          91       2  0 16:10 ?        00:00:00 [kworker/R-quota_events_unbound]
root          92       2  0 16:10 ?        00:00:00 [ksgxd]
root          93       2  0 16:10 ?        00:00:04 [kswapd0]
root          94       2  0 16:10 ?        00:00:00 [kworker/R-cryptd]
root          96       2  0 16:10 ?        00:00:00 [kworker/7:1-events]
root          98       2  0 16:10 ?        00:00:00 [kworker/R-kthrotld]
root          99       2  0 16:10 ?        00:00:00 [irq/120-pciehp]
root         100       2  0 16:10 ?        00:00:00 [irq/122-pciehp]
root         101       2  0 16:10 ?        00:00:00 [irq/124-pciehp]
root         102       2  0 16:10 ?        00:00:00 [kworker/R-acpi_thermal_pm]
root         103       2  0 16:10 ?        00:00:01 [kworker/u32:3-btrfs-endio-meta]
root         104       2  0 16:10 ?        00:00:01 [kworker/u32:4-btrfs-endio]
root         105       2  0 16:10 ?        00:00:00 [hwrng]
root         106       2  0 16:10 ?        00:00:00 [kworker/6:1-cgroup_free]
root         109       2  0 16:10 ?        00:00:00 [kworker/R-dm_bufio_cache]
root         113       2  0 16:10 ?        00:00:00 [kworker/R-mld]
root         114       2  0 16:10 ?        00:00:00 [kworker/R-ipv6_addrconf]
root         115       2  0 16:10 ?        00:00:00 [kworker/R-kstrp]
root         117       2  0 16:10 ?        00:00:00 [kworker/3:1-events]
root         128       2  0 16:10 ?        00:00:00 [kworker/u33:0-rb_allocator]
root         246       2  0 16:10 ?        00:00:00 [kworker/2:2-events]
root         249       2  0 16:10 ?        00:00:00 [kworker/1:2-events]
root         343       2  0 16:10 ?        00:00:00 [kworker/4:2-cgroup_free]
root         388       2  0 16:10 ?        00:00:00 [kworker/5:2-events]
root         391       2  0 16:10 ?        00:00:00 [kworker/R-nvme-wq]
root         392       2  0 16:10 ?        00:00:00 [kworker/R-nvme-reset-wq]
root         393       2  0 16:10 ?        00:00:00 [kworker/R-nvme-delete-wq]
root         395       2  0 16:10 ?        00:00:00 [kworker/R-nvme-auth-wq]
root         396       2  0 16:10 ?        00:00:00 [scsi_eh_0]
root         397       2  0 16:10 ?        00:00:00 [kworker/R-scsi_tmf_0]
root         398       2  0 16:10 ?        00:00:00 [usb-storage]
root         399       2  0 16:10 ?        00:00:00 [kworker/R-uas]
root         406       2  0 16:10 ?        00:00:00 [kworker/3:1H-kblockd]
root         410       2  0 16:10 ?        00:00:00 [kworker/7:2-events]
root         414       2  0 16:10 ?        00:00:00 [kworker/R-USBC000:00-con1]
root         418       2  0 16:10 ?        00:00:00 [kworker/R-btrfs-worker]
root         419       2  0 16:10 ?        00:00:00 [kworker/R-btrfs-delalloc]
root         420       2  0 16:10 ?        00:00:00 [kworker/R-btrfs-flush_delalloc]
root         421       2  0 16:10 ?        00:00:00 [kworker/R-btrfs-cache]
root         422       2  0 16:10 ?        00:00:00 [kworker/R-btrfs-fixup]
root         423       2  0 16:10 ?        00:00:00 [kworker/R-btrfs-endio]
root         424       2  0 16:10 ?        00:00:00 [kworker/R-btrfs-endio-meta]
root         425       2  0 16:10 ?        00:00:00 [kworker/R-btrfs-rmw]
root         426       2  0 16:10 ?        00:00:00 [kworker/R-btrfs-endio-write]
root         427       2  0 16:10 ?        00:00:00 [kworker/R-btrfs-freespace-write]
root         428       2  0 16:10 ?        00:00:00 [kworker/R-btrfs-delayed-meta]
root         429       2  0 16:10 ?        00:00:00 [kworker/R-btrfs-qgroup-rescan]
root         430       2  0 16:10 ?        00:00:00 [btrfs-cleaner]
root         431       2  0 16:10 ?        00:00:03 [btrfs-transaction]
root         457       2  0 16:10 ?        00:00:00 [kworker/2:1H-i915_cleanup]
root         458       2  0 16:10 ?        00:00:00 [kworker/u32:5-btrfs-endio-write]
root         460       2  0 16:10 ?        00:00:00 [kworker/7:1H-kblockd]
root         461       2  0 16:10 ?        00:00:00 [kworker/R-USBC000:00-con2]
root         462       2  0 16:10 ?        00:00:00 [kworker/0:1H-kblockd]
root         463       2  0 16:10 ?        00:00:00 [kworker/R-ttm]
root         464       2  0 16:10 ?        00:00:00 [card1-crtc0]
root         465       2  0 16:10 ?        00:00:00 [card1-crtc1]
root         466       2  0 16:10 ?        00:00:00 [card1-crtc2]
root         467       2  0 16:10 ?        00:00:00 [kworker/6:1H-kblockd]
root         478       2  0 16:10 ?        00:00:00 [kworker/4:1H-i915_cleanup]
root         479       2  0 16:10 ?        00:00:00 [kworker/1:1H-kblockd]
root         480       2  0 16:10 ?        00:00:01 [kworker/u32:7-btrfs-endio]
root         481       2  0 16:10 ?        00:00:01 [kworker/u32:8-events_unbound]
root         484       2  0 16:10 ?        00:00:00 [kworker/5:1H-kblockd]
root         537       2  0 16:10 ?        00:00:00 [psimon]
root         548       1  0 16:10 ?        00:00:00 /usr/lib/systemd/systemd-journald
root         581       1  0 16:10 ?        00:00:00 /usr/lib/systemd/systemd-userdbd
root         582       2  0 16:10 ?        00:00:01 [kworker/u32:9-btrfs-endio]
root         583       2  0 16:10 ?        00:00:01 [kworker/u32:10-btrfs-endio-meta]
root         594       1  0 16:10 ?        00:00:00 /usr/lib/systemd/systemd-udevd
root         595       2  0 16:10 ?        00:00:00 [kworker/u32:14-btrfs-endio]
root         600       2  0 16:10 ?        00:00:00 [psimon]
root         674       2  0 16:10 ?        00:00:00 [jbd2/nvme0n1p2-8]
root         675       2  0 16:10 ?        00:00:00 [kworker/R-ext4-rsv-conversion]
root         677       2  0 16:10 ?        00:00:00 [kworker/R-ktpacpid]
root         678       2  0 16:10 ?        00:00:00 [kworker/R-cfg80211]
root         682       2  0 16:10 ?        00:00:00 [irq/168-iwlwifi]
systemd+     741       1  0 16:10 ?        00:00:00 /usr/lib/systemd/systemd-resolved
root         742       1  0 16:10 ?        00:00:00 /usr/bin/auditd
root         787       2  0 16:10 ?        00:00:00 [kworker/3:3-events]
dbus         790       1  0 16:10 ?        00:00:00 /usr/bin/dbus-broker-launch --scope system --audit
dbus         794     790  0 16:10 ?        00:00:00 dbus-broker --log 10 --controller 9 --machine-id 145e6b245f9f439c9607c8f7a0be2207 --max-bytes 536870912 --max-fds 4096 --max-matches 131072 --audit
avahi        804       1  0 16:10 ?        00:00:00 avahi-daemon: running [fedora.local]
root         805       1  0 16:10 ?        00:00:00 /usr/libexec/bluetooth/bluetoothd
root         806       2  0 16:10 ?        00:00:00 [kworker/R-rpciod]
root         807       2  0 16:10 ?        00:00:00 [kworker/R-xprtiod]
root         811       1  0 16:10 ?        00:00:00 /usr/sbin/irqbalance
chrony       813       1  0 16:10 ?        00:00:00 /usr/sbin/chronyd -n -F 2
root         818       1  0 16:10 ?        00:00:00 /usr/libexec/low-memory-monitor
root         820       1  0 16:10 ?        00:00:00 /usr/sbin/mcelog --daemon --foreground
polkitd      821       1  0 16:10 ?        00:00:01 /usr/lib/polkit-1/polkitd --no-debug --log-level=notice
rtkit        822       1  0 16:10 ?        00:00:00 /usr/libexec/rtkit-daemon
root         823       1  0 16:10 ?        00:00:00 /usr/bin/smartd -n -q never --capabilities=mail
root         824       1  0 16:10 ?        00:00:00 /usr/libexec/switcheroo-control
root         826       1  0 16:10 ?        00:00:00 /usr/lib/systemd/systemd-machined
root         827       1  0 16:10 ?        00:00:00 /usr/bin/thermald --systemd --dbus-enable --adaptive
root         828       1  0 16:10 ?        00:00:00 /usr/libexec/udisks2/udisksd
root         835       2  0 16:10 ?        00:00:00 [psimon]
root         836       1  0 16:10 ?        00:00:00 /usr/libexec/upowerd
root         855       1  0 16:10 ?        00:00:00 /usr/sbin/abrtd -d -s
root         867       1  0 16:10 ?        00:00:00 /usr/libexec/accounts-daemon
root         870       1  0 16:10 ?        00:00:00 /usr/lib/systemd/systemd-logind
root         873       1  0 16:10 ?        00:00:00 /usr/sbin/alsactl -s -n 19 -c -E ALSA_CONFIG_PATH=/etc/alsa/alsactl.conf --initfile=/lib/alsa/init/00main rdaemon
avahi        880     804  0 16:10 ?        00:00:00 avahi-daemon: chroot helper
root         885       2  0 16:10 ?        00:00:02 [irq/170-rmi4_smbus]
root         934       1  0 16:10 ?        00:00:00 /usr/bin/ModemManager
root         935       1  0 16:10 ?        00:00:00 /usr/libexec/boltd
root         939       1  0 16:10 ?        00:00:00 /usr/bin/python3 -sP /usr/bin/firewalld --nofork --nopid
root         946       1  0 16:10 ?        00:00:00 /usr/bin/abrt-dump-journal-core -D -T -f -e
root         947       1  0 16:10 ?        00:00:00 /usr/bin/abrt-dump-journal-oops -fxtD
root         948       1  0 16:10 ?        00:00:00 /usr/bin/abrt-dump-journal-xorg -fxtD
root        1005       1  0 16:10 ?        00:00:00 /usr/bin/NetworkManager --no-daemon
root        1035       1  0 16:10 ?        00:00:00 /usr/sbin/wpa_supplicant -c /etc/wpa_supplicant/wpa_supplicant.conf -u -s
root        1048       1  0 16:10 ?        00:00:00 /usr/bin/cupsd -l
root        1049       1  0 16:10 ?        00:00:00 /usr/bin/gssproxy -i
root        1050       1  0 16:10 ?        00:00:00 /usr/bin/python3 -Es /usr/sbin/tuned -l -P
root        1063       1  0 16:10 ?        00:00:00 /usr/bin/python3 -Es /usr/sbin/tuned-ppd -l
root        1125       1  0 16:10 ?        00:00:00 /usr/sbin/rsyslogd -n
root        1130       1  0 16:10 ?        00:00:00 /usr/sbin/atd -f
root        1131       1  0 16:10 ?        00:00:00 /usr/sbin/crond -n
root        1132       1  0 16:10 ?        00:00:00 /usr/bin/gdm
root        1167       1  0 16:10 ?        00:00:00 /usr/libexec/uresourced
root        1288       2  0 16:10 ?        00:00:00 [krfcommd]
colord      1330       1  0 16:10 ?        00:00:00 /usr/libexec/colord
root        1452       1  0 16:10 ?        00:00:00 /usr/bin/pcscd --foreground --auto-exit
root        2223    1132  0 16:10 ?        00:00:00 gdm-session-worker [pam/gdm-password]
kevinou+    2321       1  0 16:11 ?        00:00:00 /usr/lib/systemd/systemd --user
kevinou+    2324    2321  0 16:11 ?        00:00:00 (sd-pam)
kevinou+    2342       1  0 16:11 ?        00:00:00 /usr/bin/gnome-keyring-daemon --daemonize --login
kevinou+    2409    2223  0 16:11 tty2     00:00:00 /usr/libexec/gdm-wayland-session /usr/bin/gnome-session
kevinou+    2415    2321  0 16:11 ?        00:00:00 /usr/bin/dbus-broker-launch --scope user
kevinou+    2437    2415  0 16:11 ?        00:00:00 dbus-broker --log 11 --controller 10 --machine-id 145e6b245f9f439c9607c8f7a0be2207 --max-bytes 100000000000000 --max-fds 25000000000000 --max-matches 5000000000
kevinou+    2441    2409  0 16:11 tty2     00:00:00 /usr/libexec/gnome-session-init-worker gnome
kevinou+    2511    2321  0 16:11 ?        00:00:00 /usr/libexec/gnome-session-ctl --monitor
kevinou+    2512    2321  0 16:11 ?        00:00:00 /usr/libexec/uresourced --user
kevinou+    2520    2321  0 16:11 ?        00:00:00 /usr/libexec/gnome-session-service --session=gnome
kevinou+    2521    2321  0 16:11 ?        00:00:00 /usr/libexec/gvfsd
kevinou+    2530    2321  0 16:11 ?        00:00:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
kevinou+    2540    2321  0 16:11 ?        00:00:00 /usr/bin/pipewire
kevinou+    2542    2321  0 16:11 ?        00:00:00 /usr/bin/wireplumber
kevinou+    2552    2321  6 16:11 ?        00:00:28 /usr/bin/gnome-shell
